label,code,class,key
"Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage V or end stage renal disease",40301,ICD,bph
"Hypertensive chronic kidney disease, benign, with chronic kidney disease stage V or end stage renal disease",40311,ICD,bph
"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease",40391,ICD,bph
Acute glomerulonephritis with lesion of proliferative glomerulonephritis,5800,ICD,bph
Acute glomerulonephritis with lesion of rapidly progressive glomerulonephritis,5804,ICD,bph
Acute glomerulonephritis in diseases classified elsewhere,58081,ICD,bph
Acute glomerulonephritis with other specified pathological lesion in kidney,58089,ICD,bph
Acute glomerulonephritis with unspecified pathological lesion in kidney,5809,ICD,bph
Nephrotic syndrome with lesion of proliferative glomerulonephritis,5810,ICD,bph
Nephrotic syndrome with lesion of membranous glomerulonephritis,5811,ICD,bph
Nephrotic syndrome with lesion of membranoproliferative glomerulonephritis,5812,ICD,bph
Nephrotic syndrome with lesion of minimal change glomerulonephritis,5813,ICD,bph
Nephrotic syndrome in diseases classified elsewhere,58181,ICD,bph
Nephrotic syndrome with other specified pathological lesion in kidney,58189,ICD,bph
Nephrotic syndrome with unspecified pathological lesion in kidney,5819,ICD,bph
Chronic glomerulonephritis with lesion of proliferative glomerulonephritis,5820,ICD,bph
Chronic glomerulonephritis with lesion of membranous glomerulonephritis,5821,ICD,bph
Chronic glomerulonephritis with lesion of membranoproliferative glomerulonephritis,5822,ICD,bph
Chronic glomerulonephritis with lesion of rapidly progressive glomerulonephritis,5824,ICD,bph
Chronic glomerulonephritis in diseases classified elsewhere,58281,ICD,bph
Chronic glomerulonephritis with other specified pathological lesion in kidney,58289,ICD,bph
Chronic glomerulonephritis with unspecified pathological lesion in kidney,5829,ICD,bph
Chronic glomerulonephritis with lesion of proliferative glomerulonephritis,5820,ICD,bph
"Nephritis and nephropathy, not specified as acute or chronic, with lesion of proliferative glomerulonephritis",5830,ICD,bph
"Nephritis and nephropathy, not specified as acute or chronic, with lesion of membranous glomerulonephritis",5831,ICD,bph
"Nephritis and nephropathy, not specified as acute or chronic, with lesion of membranoproliferative glomerulonephritis",5832,ICD,bph
"Nephritis and nephropathy, not specified as acute or chronic, with lesion of rapidly progressive glomerulonephritis",5834,ICD,bph
"Nephritis and nephropathy, not specified as acute or chronic, with lesion of renal cortical necrosis",5836,ICD,bph
"Nephritis and nephropathy, not specified as acute or chronic, with lesion of renal medullary necrosis",5837,ICD,bph
"Nephritis and nephropathy, not specified as acute or chronic, in diseases classified elsewhere",58381,ICD,bph
"Nephritis and nephropathy, not specified as acute or chronic, with other specified pathological lesion in kidney",58389,ICD,bph
"Nephritis and nephropathy, not specified as acute or chronic, with unspecified pathological lesion in kidney",5839,ICD,bph
Acute kidney failure with lesion of tubular necrosis,5845,ICD,bph
Acute kidney failure with lesion of renal cortical necrosis,5846,ICD,bph
Acute kidney failure with lesion of renal medullary [papillary] necrosis,5847,ICD,bph
Acute kidney failure with other specified pathological lesion in kidney,5848,ICD,bph
"Acute kidney failure, unspecified",5849,ICD,bph
"Chronic kidney disease, Stage I",5851x,ICD,bph
"Chronic kidney disease, Stage II (mild)",5852x,ICD,bph
"Chronic kidney disease, Stage III (moderate)",5853x,ICD,bph
"Chronic kidney disease, Stage IV (severe)",5854x,ICD,bph
"Chronic kidney disease, Stage V",5855x,ICD,bph
End stage renal disease,5856x,ICD,bph
"Chronic kidney disease, unspecified",5859,ICD,bph
"Chronic kidney disease, Stage I",5851,ICD,bph
"Chronic kidney disease, Stage II (mild)",5852,ICD,bph
"Chronic kidney disease, Stage III (moderate)",5853,ICD,bph
"Chronic kidney disease, Stage IV (severe)",5854,ICD,bph
"Chronic kidney disease, Stage V",5855,ICD,bph
End stage renal disease,5856,ICD,bph
"Renal failure, unspecified",586,ICD,bph
"Renal sclerosis, unspecified",587,ICD,bph
Renal osteodystrophy,5880,ICD,bph
Nephrogenic diabetes insipidus,5881,ICD,bph
Secondary hyperparathyroidism (of renal origin),58881,ICD,bph
Other specified disorders resulting from impaired renal function,58889,ICD,bph
Unspecified disorder resulting from impaired renal function,5889,ICD,bph
Unilateral small kidney,5890,ICD,bph
Bilateral small kidneys,5891,ICD,bph
"Small kidney, unspecified",5899,ICD,bph
"Pyelonephritis, unspecified",59080,ICD,bph
Pyelitis or pyelonephritis in diseases classified elsewhere,59081,ICD,bph
"Urinary tract infection, site not specified",5990,ICD,bph
"Hematuria, unspecified",59970,ICD,bph
Gross hematuria,59971,ICD,bph
Microscopic hematuria,59972,ICD,bph
"Fever, unspecified",78060,ICD,bph
Fever presenting with conditions classified elsewhere,78061,ICD,bph
Postprocedural fever,78062,ICD,bph
Postvaccination fever,78063,ICD,bph
Chills (without fever),78064,ICD,bph
Hypothermia not associated with low environmental temperature,78065,ICD,bph
Febrile nonhemolytic transfusion reaction,78066,ICD,bph
"Retention of urine, unspecified",78820,ICD,bph
Incomplete bladder emptying,78821,ICD,bph
Other specified retention of urine,78829,ICD,bph
"Abdominal pain, unspecified site",78900,ICD,bph
"Abdominal pain, right upper quadrant",78901,ICD,bph
"Abdominal pain, left upper quadrant",78902,ICD,bph
"Abdominal pain, right lower quadrant",78903,ICD,bph
"Abdominal pain, left lower quadrant",78904,ICD,bph
"Abdominal pain, periumbilic",78905,ICD,bph
"Abdominal pain, epigastric",78906,ICD,bph
"Abdominal pain, generalized",78907,ICD,bph
"Abdominal pain, other specified site",78909,ICD,bph
hccExc,7,HCC,bph
hccExc,8,HCC,bph
hccExc,9,HCC,bph
hccExc,10,HCC,bph
HIV / AIDS,1,HCC,card
Cancer,7,HCC,card
Cancer,8,HCC,card
Cancer,9,HCC,card
Cancer,10,HCC,card
Diabetes,15,HCC,card
Diabetes,16,HCC,card
Diabetes,17,HCC,card
Diabetes,18,HCC,card
Diabetes,19,HCC,card
Drug / Alcohol Dependence,52,HCC,card
Cardio-Respiratory Failure and Shock,79,HCC,card
Congestive Heart Failure,80,HCC,card
Acute Myocardial Infarction,81,HCC,card
Unstable Angina and Other Acute Ischemic Heart Disease,82,HCC,card
Angina Pectoris / Old Myocardial Infarction,83,HCC,card
Specified Heart Arrhythmias,92,HCC,card
Ischemic or Unspecified Stroke,96,HCC,card
Hemiplegia / Hemiparesis,100,HCC,card
Vascular Disease with Complications,104,HCC,card
Vascular Disease,105,HCC,card
Chronic Obstructive Pulmonary Disease,108,HCC,card
Renal Failure,113,HCC,card
Salmonella septicemia,31,ICD,card
Human immunodeficiency virus [HIV],42,ICD,card
Unspecified food poisoning,59,ICD,card
Sarcoidosis,135,ICD,card
"Malignant neoplasm of uterus, part unspecified",179,ICD,card
Malignant neoplasm of prostate,185,ICD,card
Malignant neoplasm of thyroid gland,193,ICD,card
Nutritional marasmus,261,ICD,card
Other severe protein-calorie malnutrition,262,ICD,card
"Depressive disorder, not elsewhere classified",311,ICD,card
Disseminated diseases due to other mycobacteria,312,ICD,card
Multiple sclerosis,340,ICD,card
Streptococcal septicemia,380,ICD,card
Pneumococcal septicemia,382,ICD,card
Septicemia due to anaerobes,383,ICD,card
Other specified septicemia,388,ICD,card
Unspecified septicemia,389,ICD,card
Rheumatic fever without mention of heart involvement,390,ICD,card
Gas gangrene,400,ICD,card
Old myocardial infarction,412,ICD,card
Subarachnoid hemorrhage,430,ICD,card
Intracerebral hemorrhage,431,ICD,card
"Acute, but ill-defined, cerebrovascular disease",436,ICD,card
Portal vein thrombosis,452,ICD,card
Unspecified viral meningitis,479,ICD,card
"Bronchitis, not specified as acute or chronic",490,ICD,card
Unspecified non-arthropod-borne viral disease of central nervous system,499,ICD,card
Coal workers' pneumoconiosis,500,ICD,card
Asbestosis,501,ICD,card
Pulmonary congestion and hypostasis,514,ICD,card
Postinflammatory pulmonary fibrosis,515,ICD,card
"Appendicitis, unqualified",541,ICD,card
Herpetic meningoencephalitis,543,ICD,card
Acute and subacute necrosis of liver,570,ICD,card
Unspecified renal failure,586,ICD,card
Respiratory distress syndrome in newborn,769,ICD,card
Toxic effect of carbon monoxide,986,ICD,card
"Effects of radiation, unspecified",990,ICD,card
Candidiasis of lung,1124,ICD,card
Disseminated candidiasis,1125,ICD,card
Aspergillosis,1173,ICD,card
"Malignant neoplasm of lower lip, vermilion border",1401,ICD,card
Malignant neoplasm of base of tongue,1410,ICD,card
"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",1414,ICD,card
"Malignant neoplasm of tongue, unspecified site",1419,ICD,card
Malignant neoplasm of parotid gland,1420,ICD,card
"Malignant neoplasm of floor of mouth, part unspecified",1449,ICD,card
"Malignant neoplasm of mouth, unspecified site",1459,ICD,card
Malignant neoplasm of tonsil,1460,ICD,card
"Malignant neoplasm of oropharynx, unspecified site",1469,ICD,card
"Malignant neoplasm of nasopharynx, unspecified site",1479,ICD,card
Malignant neoplasm of thoracic esophagus,1501,ICD,card
Malignant neoplasm of upper third of esophagus,1503,ICD,card
Malignant neoplasm of middle third of esophagus,1504,ICD,card
Malignant neoplasm of lower third of esophagus,1505,ICD,card
Malignant neoplasm of other specified part of esophagus,1508,ICD,card
"Malignant neoplasm of esophagus, unspecified site",1509,ICD,card
Malignant neoplasm of cardia,1510,ICD,card
Malignant neoplasm of pylorus,1511,ICD,card
Malignant neoplasm of pyloric antrum,1512,ICD,card
Malignant neoplasm of fundus of stomach,1513,ICD,card
Malignant neoplasm of body of stomach,1514,ICD,card
"Malignant neoplasm of lesser curvature of stomach, unspecified",1515,ICD,card
Malignant neoplasm of other specified sites of stomach,1518,ICD,card
"Malignant neoplasm of stomach, unspecified site",1519,ICD,card
Malignant neoplasm of duodenum,1520,ICD,card
Malignant neoplasm of ileum,1522,ICD,card
"Malignant neoplasm of small intestine, unspecified site",1529,ICD,card
Malignant neoplasm of hepatic flexure,1530,ICD,card
Malignant neoplasm of transverse colon,1531,ICD,card
Malignant neoplasm of descending colon,1532,ICD,card
Malignant neoplasm of sigmoid colon,1533,ICD,card
Malignant neoplasm of cecum,1534,ICD,card
Malignant neoplasm of appendix,1535,ICD,card
Malignant neoplasm of ascending colon,1536,ICD,card
Malignant neoplasm of splenic flexure,1537,ICD,card
Malignant neoplasm of other specified sites of large intestine,1538,ICD,card
"Malignant neoplasm of colon, unspecified site",1539,ICD,card
Malignant neoplasm of rectosigmoid junction,1540,ICD,card
Malignant neoplasm of rectum,1541,ICD,card
Malignant neoplasm of anal canal,1542,ICD,card
"Malignant neoplasm of anus, unspecified site",1543,ICD,card
"Malignant neoplasm of other sites of rectum, rectosigmoid junction, and anus",1548,ICD,card
"Malignant neoplasm of liver, primary",1550,ICD,card
Malignant neoplasm of intrahepatic bile ducts,1551,ICD,card
"Malignant neoplasm of liver, not specified as primary or secondary",1552,ICD,card
Malignant neoplasm of gallbladder,1560,ICD,card
Malignant neoplasm of extrahepatic bile ducts,1561,ICD,card
Malignant neoplasm of ampulla of Vater,1562,ICD,card
"Malignant neoplasm of biliary tract, part unspecified site",1569,ICD,card
Malignant neoplasm of head of pancreas,1570,ICD,card
Malignant neoplasm of body of pancreas,1571,ICD,card
Malignant neoplasm of tail of pancreas,1572,ICD,card
Malignant neoplasm of other specified sites of pancreas,1578,ICD,card
"Malignant neoplasm of pancreas, part unspecified",1579,ICD,card
Malignant neoplasm of retroperitoneum,1580,ICD,card
Malignant neoplasm of specified parts of peritoneum,1588,ICD,card
"Malignant neoplasm of peritoneum, unspecified",1589,ICD,card
"Malignant neoplasm of intestinal tract, part unspecified",1590,ICD,card
Malignant neoplasm of nasal cavities,1600,ICD,card
Malignant neoplasm of maxillary sinus,1602,ICD,card
Malignant neoplasm of glottis,1610,ICD,card
Malignant neoplasm of supraglottis,1611,ICD,card
Malignant neoplasm of other specified sites of larynx,1618,ICD,card
"Malignant neoplasm of larynx, unspecified site",1619,ICD,card
Malignant neoplasm of trachea,1620,ICD,card
Malignant neoplasm of main bronchus,1622,ICD,card
"Malignant neoplasm of upper lobe, bronchus, or lung",1623,ICD,card
"Malignant neoplasm of middle lobe, bronchus, or lung",1624,ICD,card
"Malignant neoplasm of lower lobe, bronchus, or lung",1625,ICD,card
Malignant neoplasm of other parts of bronchus or lung,1628,ICD,card
"Malignant neoplasm of bronchus and lung, unspecified site",1629,ICD,card
Malignant neoplasm of other specified sites of pleura,1638,ICD,card
"Malignant neoplasm of pleura, unspecified site",1639,ICD,card
Malignant neoplasm of thymus,1640,ICD,card
Malignant neoplasm of heart,1641,ICD,card
"Malignant neoplasm of mediastinum, part unspecified",1649,ICD,card
"Malignant neoplasm of bone and articular cartilage, site unspecified",1709,ICD,card
"Malignant neoplasm of connective and other soft tissue of head, face, and neck",1710,ICD,card
"Malignant neoplasm of connective and other soft tissue of upper limb, including shoulder",1712,ICD,card
"Malignant neoplasm of connective and other soft tissue of lower limb, including hip",1713,ICD,card
Malignant neoplasm of connective and other soft tissue of thorax,1714,ICD,card
Malignant neoplasm of connective and other soft tissue of abdomen,1715,ICD,card
"Malignant neoplasm of connective and other soft tissue, site unspecified",1719,ICD,card
Malignant melanoma of skin of ear and external auditory canal,1722,ICD,card
Malignant melanoma of skin of other and unspecified parts of face,1723,ICD,card
Malignant melanoma of skin of scalp and neck,1724,ICD,card
"Malignant melanoma of skin of trunk, except scrotum",1725,ICD,card
"Malignant melanoma of skin of upper limb, including shoulder",1726,ICD,card
"Malignant melanoma of skin of lower limb, including hip",1727,ICD,card
Malignant melanoma of other specified sites of skin,1728,ICD,card
"Melanoma of skin, site unspecified",1729,ICD,card
Other malignant neoplasm of skin of lip,1730,ICD,card
"Other malignant neoplasm of skin of eyelid, including canthus",1731,ICD,card
Other malignant neoplasm of skin of ear and external auditory canal,1732,ICD,card
Other malignant neoplasm of skin of other and unspecified parts of face,1733,ICD,card
Other malignant neoplasm of scalp and skin of neck,1734,ICD,card
"Other malignant neoplasm of skin of trunk, except scrotum",1735,ICD,card
"Other malignant neoplasm of skin of upper limb, including shoulder",1736,ICD,card
"Other malignant neoplasm of skin of lower limb, including hip",1737,ICD,card
Other malignant neoplasm of other specified sites of skin,1738,ICD,card
"Other malignant neoplasm of skin, site unspecified",1739,ICD,card
Malignant neoplasm of nipple and areola of female breast,1740,ICD,card
Malignant neoplasm of central portion of female breast,1741,ICD,card
Malignant neoplasm of upper-inner quadrant of female breast,1742,ICD,card
Malignant neoplasm of lower-inner quadrant of female breast,1743,ICD,card
Malignant neoplasm of upper-outer quadrant of female breast,1744,ICD,card
Malignant neoplasm of lower-outer quadrant of female breast,1745,ICD,card
Malignant neoplasm of other specified sites of female breast,1748,ICD,card
"Malignant neoplasm of breast (female), unspecified site",1749,ICD,card
Malignant neoplasm of other and unspecified sites of male breast,1759,ICD,card
cerv,1800,ICD,card
"Malignant neoplasm of cervix uteri, unspecified site",1809,ICD,card
"Malignant neoplasm of corpus uteri, except isthmus",1820,ICD,card
